,Population 2024,,,,,
,,,,,,
,,,,,,
,Ranking,,Economy,(thousands),,
,,,,,,
GRD,189,,Grenada, 117 ,,
FSM,190,,"Micronesia, Fed. Sts.", 113 ,,
ABW,191,,Aruba, 108 ,,
VIR,192,,Virgin Islands (U.S.), 104 ,,
TON,193,,Tonga, 104 ,,
VCT,194,,St. Vincent and the Grenadines, 101 ,,
ATG,195,,Antigua and Barbuda, 94 ,,
IMN,196,,Isle of Man, 84 ,,
AND,197,,Andorra, 82 ,,
CYM,198,,Cayman Islands, 74 ,,
DMA,199,,Dominica, 66 ,,
BMU,200,,Bermuda, 65 ,,
GRL,201,,Greenland, 57 ,,
FRO,202,,Faroe Islands, 55 ,,
KNA,203,,St. Kitts and Nevis, 47 ,,
ASM,204,,American Samoa, 47 ,,
TCA,205,,Turks and Caicos Islands, 47 ,,
MNP,206,,Northern Mariana Islands, 44 ,,
SXM,207,,Sint Maarten (Dutch part), 43 ,,
LIE,208,,Liechtenstein, 40 ,,
VGB,209,,British Virgin Islands, 39 ,,
GIB,210,,Gibraltar, 39 ,,
MCO,211,,Monaco, 39 ,,
MHL,212,,Marshall Islands, 38 ,,
SMR,213,,San Marino, 34 ,,
MAF,214,,St. Martin (French part), 26 ,,
PLW,215,,Palau, 18 ,,
NRU,216,,Nauru, 12 ,,
TUV,217,,Tuvalu, 10 ,,
,,,,,,
,,,,,,
WLD,,,World," 8,142,056 ",,
,,,,,,
EAS,,,East Asia & Pacific," 2,388,378 ",,
ECS,,,Europe & Central Asia," 928,466 ",,
LCN,,,Latin America & Caribbean," 662,186 ",,
MEA,,,Middle East & North Africa," 813,119 ",,
NAC,,,North America," 381,464 ",,
SAS,,,South Asia," 1,677,385 ",,
SSF,,,Sub-Saharan Africa," 1,291,059 ",,
LIC,,,Low income," 624,608 ",,
LMC,,,Lower middle income," 3,120,984 ",,
UMC,,,Upper middle income," 2,818,128 ",,
HIC,,,High income," 1,417,871 ",,
,,,,,,
,a. Excludes Abkhazia and South Ossetia.  b. Excludes Transnistria.  ,,,,,
,,,,,,
,http://data.worldbank.org/data-catalog/world-development-indicators,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
